packet_id	n_blocks	top_mode	mode_margin	signal_strength	block_stability	composition_score	stress_score	matched_state_balance	negative_control_margin	missing_fraction	v_tag	mode_correlation_activation	mode_correlation_suppression	mode_correlation_delay	mode_correlation_persistent_loss	mode_correlation_redirection
F0300	5	delay	0.5617226323587294	0.5567469733193077	1.0	0.1589202404803008	0.15485628815825453	0.931560256102446	0.3582509132937302	0.09508196721311475	replication	-0.24567009815679813	0.24567009815679813	0.8073927305155276	-0.07248795385905656	-0.7041886240323505
F0301	2	delay	0.22101708916670845	0.43099266960164223	1.0	0.16309202623396332	0.14732155530045474	0.9361073949230146	0.8815528201119988	0.5327868852459017	none	-0.20997558043493378	0.20997558043493378	0.43099266960164223	0.06195522775837026	-0.30697769439848094
F0302	2	delay	0.16686929479381798	0.32743996981384055	1.0	0.16349167711809498	0.15642105218878255	0.9305036462244531	0.6229805564017479	0.48360655737704916	outcome	-0.16057067502002256	0.16057067502002256	0.32743996981384055	0.075146376149612	-0.24447890211803028
F0303	2	delay	0.4807859489777784	0.5585097922712747	1.0	0.14610031893802075	0.16474108459846362	0.9292558590853581	0.9794153486572212	0.5327868852459017	reversal	0.07772384329349635	-0.07772384329349635	0.5585097922712747	-0.25194582826469597	-0.5725645417734092
F0304	2	delay	0.16108866413787765	0.23394681649336282	1.0	0.15215692611104475	0.15267463309685195	0.9320126181852435	0.6261239270592956	0.47540983606557374	rescue	-0.07285815235548518	0.07285815235548518	0.23394681649336282	-0.009347330872190387	-0.1462062994346131
F0305	2	delay	0.6173638951315861	0.6269017226318384	1.0	0.15267142911344306	0.14627521238061444	0.9318838565936174	1.0	0.4918032786885246	replication	-0.009537827500252328	0.009537827500252328	0.6269017226318384	-0.16579146431549782	-0.5152389594920581
F0306	3	delay	0.5718139646017046	0.6329422199162416	1.0	0.15992649710674522	0.15776107145715143	0.9384607344953404	1.0	0.5245901639344263	none	-0.06112825531453693	0.06112825531453693	0.6329422199162416	-0.09522695920783829	-0.5490808645711719
F0307	3	delay	0.18641568913300421	0.3299817289959917	1.0	0.15623299319100276	0.1611441842979512	0.9358004057156944	1.0	0.5846994535519126	outcome	-0.1435660398629875	0.1435660398629875	0.3299817289959917	0.022112899791304427	-0.28240171374241824
F0308	3	delay	0.3295916648974325	0.41956115023742274	1.0	0.16693197266706575	0.15569218716111963	0.9348536484219648	0.8509556711205539	0.5136612021857924	reversal	0.08996948533999022	-0.08996948533999022	0.41956115023742274	-0.23002265135773117	-0.4223175951846465
F0309	3	delay	0.235228229267147	0.27564258743629577	1.0	0.15140268016778485	0.14771363366877047	0.9278560780625127	0.7247386723277522	0.5136612021857924	rescue	0.04041435816914876	-0.04041435816914876	0.27564258743629577	-0.10211714897628492	-0.3253672114933916
F0310	3	delay	0.6395063704668685	0.6396659239560961	1.0	0.1622135946703236	0.15460300019814274	0.9308956271034091	0.683416221419284	0.5300546448087432	replication	-0.00015955348922757172	0.00015955348922757172	0.6396659239560961	-0.2593569637893991	-0.5827614384004981
F0311	5	delay	0.3103401202716059	0.5853023775791335	1.0	0.15141109090046606	0.15476050195917304	0.9363928313292226	0.6067409992300791	0.5016393442622951	none	-0.2749622573075276	0.2749622573075276	0.5853023775791335	0.05287026084716281	-0.45015543160150906
F0312	5	delay	0.17860344416402915	0.2555308525262526	1.0	0.15104565615325666	0.1544368958489199	0.9316324801853022	0.7485503749709235	0.5147540983606558	outcome	0.07692740836222348	-0.07692740836222348	0.2555308525262526	-0.16872067968262225	-0.2695518290064811
F0313	5	delay	0.329410810793749	0.30695826529343834	1.0	0.15876878538647185	0.15114732289463853	0.941394782695034	0.5218062761503215	0.5180327868852459	reversal	-0.008860031000286688	0.008860031000286688	0.3382708417940357	-0.10727077840157581	-0.24438994861716304
F0314	5	delay	0.3025719287303088	0.5133813284848021	1.0	0.1571965196068035	0.14435715459769233	0.9309069378754655	0.7772669062846869	0.45901639344262296	rescue	-0.21080939975449328	0.21080939975449328	0.5133813284848021	0.014091822502536122	-0.43912780524784145
F0315	5	delay	0.4761141689022965	0.6036018518739084	1.0	0.14996835586796706	0.15012914082022208	0.9393131610229405	0.7937370638592498	0.5016393442622951	replication	-0.12748768297161184	0.12748768297161184	0.6036018518739084	-0.07904572714115518	-0.5347550290736955
F0316	2	delay	0.5476653766209412	0.5801648939563216	1.0	0.6589088378892047	0.15622431002810824	0.5681037532016457	0.0	0.0	none	0.2645287147821827	-0.2645287147821827	0.8121940914031239	-0.5854706386782028	-0.901577673114605
F0317	2	delay	0.5076037398788594	0.6049750922883492	1.0	0.6829823942289607	0.152951361386661	0.5799573517747759	0.0	0.0	outcome	0.2860472690524378	-0.2860472690524378	0.7936510089312973	-0.6053628776941259	-0.8913950330724231
F0318	2	delay	0.3919783124539054	0.5621842949824879	1.0	0.7385937548387129	0.14762263648738863	0.5655873147642733	0.0	0.0	reversal	0.3454576505666482	-0.3454576505666482	0.7374359630205536	-0.6427082942654444	-0.8550361164261133
F0319	2	delay	0.35704659449682025	0.4195158078788204	1.0	0.629709928054762	0.15833188281841357	0.5634711745521674	0.0	0.0	rescue	0.36735816385397563	-0.36735816385397563	0.7244047583507959	-0.6510111463850218	-0.8761322393361777
F0320	2	delay	0.4140522363203422	0.4835357597379772	1.0	0.6340492142174546	0.13998195833967567	0.578875471866227	0.0	0.0	replication	0.3259742790642168	-0.3259742790642168	0.740026515384559	-0.6238497453734857	-0.8502164959204679
F0321	3	delay	0.43117925586073674	0.5635947666275912	1.0	0.6917742088766761	0.15391528163847865	0.5326827887058294	0.0	0.0	none	0.3487042221535796	-0.3487042221535796	0.7798834780143163	-0.6704975256631368	-0.8835660261318303
F0322	3	delay	0.3770603792644505	0.536962723052898	1.0	0.734277053828824	0.16009667603617495	0.6144137818473878	0.0	0.0	outcome	0.36836137258052665	-0.36836137258052665	0.7454217518449772	-0.6721823290980151	-0.8604930276039788
F0323	3	delay	0.36674743972355434	0.47835916713613663	1.0	0.7106432567270972	0.1415649111250039	0.53734843875173	0.0	0.0	reversal	0.3780661797066757	-0.3780661797066757	0.7448136194302301	-0.6775729638096385	-0.8593939571685845
F0324	3	delay	0.41662285665644294	0.5318496656764855	1.0	0.6998671218414858	0.1462147844228298	0.5551842253611439	0.0	0.0	rescue	0.3468904430569115	-0.3468904430569115	0.7635132997133545	-0.6554922422310674	-0.8747741745740995
F0325	3	delay	0.48998853748703636	0.5362475687001678	1.0	0.7147570944385003	0.15266178704730918	0.593289095568601	0.0	0.0	replication	0.3064898031395093	-0.3064898031395093	0.7964783406265457	-0.6229761097889921	-0.9105608452197754
F0326	5	delay	0.5052924671199113	0.5886978683002115	1.0	0.6598205702051613	0.16650653952515923	0.5720485316061813	0.0	0.0	none	0.30516839027730475	-0.30516839027730475	0.810460857397216	-0.6369673094205718	-0.904394550036147
F0327	5	delay	0.35472978903540203	0.4801203167478326	1.0	0.673722193745152	0.15856040377244016	0.5908074841526101	0.0	0.0	outcome	0.3974824653856924	-0.3974824653856924	0.7522122544210944	-0.7077894858216306	-0.8697406968055374
F0328	5	delay	0.5085932720790474	0.5693988314868943	1.0	0.713193451961078	0.1573910400135728	0.5812218809788916	0.0	0.0	reversal	0.29822232311834335	-0.29822232311834335	0.8068155951973908	-0.6157122639213365	-0.9229774018718298
F0329	5	delay	0.5423032585574021	0.6040481323313354	1.0	0.7192969176348359	0.16492361039963888	0.5646771378396035	0.0	0.0	rescue	0.28163454701585144	-0.28163454701585144	0.8239378055732536	-0.618157251274803	-0.912306435402829
F0330	5	delay	0.4303539180822411	0.5578318451691078	1.0	0.6835085851566528	0.15842653920011696	0.5745557063276641	0.0	0.0	replication	0.3471854069699224	-0.3471854069699224	0.7775393250521635	-0.6688993741253695	-0.8761154249085501
