trajectory	contrast	pathway	day	delta_auc_day	direction_day	main_direction	direction_consistent	n_cells_case	n_cells_reference
mk	Euploid_GATA1s_vs_Euploid_wtGATA1	HALLMARK_MYC_TARGETS_V2	D11	0.2379049360752105	positive	positive	True	5357	9598
mk	Euploid_GATA1s_vs_Euploid_wtGATA1	HEME_GLOBIN	D7	0.039376825094223	positive	negative	False	6774	8596
mk	Euploid_GATA1s_vs_Euploid_wtGATA1	HEME_GLOBIN	D9	-0.2963536083698272	negative	negative	True	8702	8522
mk	Euploid_GATA1s_vs_Euploid_wtGATA1	HEME_GLOBIN	D11	-0.5212967395782471	negative	negative	True	5357	9598
mk	Euploid_GATA1s_vs_Euploid_wtGATA1	HSPC_STEMNESS	D7	0.2826590836048126	positive	positive	True	6774	8596
mk	Euploid_GATA1s_vs_Euploid_wtGATA1	HSPC_STEMNESS	D9	0.1023865491151809	positive	positive	True	8702	8522
mk	Euploid_GATA1s_vs_Euploid_wtGATA1	HSPC_STEMNESS	D11	0.1669704467058181	positive	positive	True	5357	9598
mk	Euploid_GATA1s_vs_Euploid_wtGATA1	IRON_TRANSPORT	D7	0.1123418882489204	positive	negative	False	6774	8596
mk	Euploid_GATA1s_vs_Euploid_wtGATA1	IRON_TRANSPORT	D9	-0.2621901631355285	negative	negative	True	8702	8522
mk	Euploid_GATA1s_vs_Euploid_wtGATA1	IRON_TRANSPORT	D11	-0.2779454886913299	negative	negative	True	5357	9598
mk	Euploid_GATA1s_vs_Euploid_wtGATA1	MEGAKARYOCYTE_MATURATION	D7	0.2837776243686676	positive	positive	True	6774	8596
mk	Euploid_GATA1s_vs_Euploid_wtGATA1	MEGAKARYOCYTE_MATURATION	D9	-0.59283447265625	negative	positive	False	8702	8522
mk	Euploid_GATA1s_vs_Euploid_wtGATA1	MEGAKARYOCYTE_MATURATION	D11	-0.4664428830146789	negative	positive	False	5357	9598
mk	Euploid_GATA1s_vs_Euploid_wtGATA1	MYELOID_PRIMING	D7	0.3202648758888244	positive	positive	True	6774	8596
mk	Euploid_GATA1s_vs_Euploid_wtGATA1	MYELOID_PRIMING	D9	0.0072952532209455	positive	positive	True	8702	8522
mk	Euploid_GATA1s_vs_Euploid_wtGATA1	MYELOID_PRIMING	D11	0.3840356469154358	positive	positive	True	5357	9598
mk	T21_GATA1s_vs_T21_wtGATA1	CELL_CYCLE_E2F_G2M	D7	-0.2511706054210663	negative	negative	True	6109	7477
mk	T21_GATA1s_vs_T21_wtGATA1	CELL_CYCLE_E2F_G2M	D9	-0.5468858480453491	negative	negative	True	9157	9336
mk	T21_GATA1s_vs_T21_wtGATA1	CELL_CYCLE_E2F_G2M	D11	-0.102026343345642	negative	negative	True	7725	7332
mk	T21_GATA1s_vs_T21_wtGATA1	CELL_CYCLE_EXIT	D7	-0.2678509354591369	negative	negative	True	6109	7477
mk	T21_GATA1s_vs_T21_wtGATA1	CELL_CYCLE_EXIT	D9	-0.1882415413856506	negative	negative	True	9157	9336
mk	T21_GATA1s_vs_T21_wtGATA1	CELL_CYCLE_EXIT	D11	0.0019401535391807	positive	negative	False	7725	7332
mk	T21_GATA1s_vs_T21_wtGATA1	ERYTHROID_MATURATION	D7	-0.2119433879852295	negative	negative	True	6109	7477
mk	T21_GATA1s_vs_T21_wtGATA1	ERYTHROID_MATURATION	D9	-0.2419217824935913	negative	negative	True	9157	9336
mk	T21_GATA1s_vs_T21_wtGATA1	ERYTHROID_MATURATION	D11	-0.345033049583435	negative	negative	True	7725	7332
mk	T21_GATA1s_vs_T21_wtGATA1	GATA_KLF_TAL1_REGULON	D7	-0.2834583222866058	negative	negative	True	6109	7477
mk	T21_GATA1s_vs_T21_wtGATA1	GATA_KLF_TAL1_REGULON	D9	-0.3737084567546844	negative	negative	True	9157	9336
mk	T21_GATA1s_vs_T21_wtGATA1	GATA_KLF_TAL1_REGULON	D11	-0.2881593406200409	negative	negative	True	7725	7332
mk	T21_GATA1s_vs_T21_wtGATA1	HALLMARK_E2F_TARGETS	D7	-0.2991087436676025	negative	negative	True	6109	7477
mk	T21_GATA1s_vs_T21_wtGATA1	HALLMARK_E2F_TARGETS	D9	-0.4596604704856872	negative	negative	True	9157	9336
mk	T21_GATA1s_vs_T21_wtGATA1	HALLMARK_E2F_TARGETS	D11	-0.1533084660768509	negative	negative	True	7725	7332
mk	T21_GATA1s_vs_T21_wtGATA1	HALLMARK_HEME_METABOLISM	D7	-0.285779595375061	negative	negative	True	6109	7477
mk	T21_GATA1s_vs_T21_wtGATA1	HALLMARK_HEME_METABOLISM	D9	-0.2784640192985534	negative	negative	True	9157	9336
mk	T21_GATA1s_vs_T21_wtGATA1	HALLMARK_HEME_METABOLISM	D11	-0.1922867000102996	negative	negative	True	7725	7332
mk	T21_GATA1s_vs_T21_wtGATA1	HALLMARK_INFLAMMATORY_RESPONSE	D7	-0.1423107087612152	negative	negative	True	6109	7477
