protein_name	target_gene	n_cells	mean_score	control_mean_score	effect_size_vs_control	p_value	q_value	direction	block_support	direction_stability
Mouse_IgG2b	SNRPE	42	0.07819792960528722	-0.0015461932291617843	0.07974412283444901	0.24746488623435497	0.8574135494880468	up	1.0	1.0
Mouse_IgG2b	SNRPF	37	-0.07570188353547143	-0.0015461932291617843	-0.07415569030630964	0.12206410457167824	0.7395782017630917	down	0.6666666666666666	0.6666666666666666
Mouse_IgG2b	SNRPG	83	0.03444793877941722	-0.0015461932291617843	0.035994132008579004	0.4459319938493129	0.8794490090752611	up	0.6666666666666666	0.6666666666666666
Mouse_IgG2b	SOX4	670	0.0023221315578968353	-0.0015461932291617843	0.00386832478705862	0.7971006589858529	0.972163633529955	up	0.6666666666666666	0.6666666666666666
Mouse_IgG2b	SP100	618	-0.0038576495014722005	-0.0015461932291617843	-0.0023114562723104163	0.87657066715631	0.972163633529955	down	0.3333333333333333	0.3333333333333333
Mouse_IgG2b	SPESP1	642	-0.009492897116326657	-0.0015461932291617843	-0.007946703887164872	0.5686672574354368	0.9143277472491337	down	0.3333333333333333	0.3333333333333333
Mouse_IgG2b	SPINT1	625	-0.005171456552439568	-0.0015461932291617843	-0.003625263323277783	0.7978351443476817	0.972163633529955	down	0.3333333333333333	0.3333333333333333
Mouse_IgG2b	SSR2	455	0.00995914632030923	-0.0015461932291617843	0.011505339549471015	0.4819695546215267	0.8794490090752611	up	1.0	1.0
Mouse_IgG2b	ST3GAL6-AS1	640	-0.021403751658415775	-0.0015461932291617843	-0.01985755842925399	0.15233902235747374	0.7955627130105128	down	0.6666666666666666	0.6666666666666666
Mouse_IgG2b	ST6GALNAC2	474	0.010066271573058765	-0.0015461932291617843	0.01161246480222055	0.537197246077425	0.8929240867324393	up	1.0	1.0
Mouse_IgG2b	STAT1	719	-0.031718907610463566	-0.0015461932291617843	-0.03017271438130178	0.021241327193710545	0.4354472074710662	down	0.3333333333333333	0.3333333333333333
Mouse_IgG2b	STAT3	539	0.023818959598343955	-0.0015461932291617843	0.02536515282750574	0.11619490887608196	0.7395782017630917	up	1.0	1.0
Mouse_IgG2b	STOM	674	0.03384295167933861	-0.0015461932291617843	0.03538914490850039	0.03134782228697819	0.5141042855064423	up	1.0	1.0
Mouse_IgG2b	STX7	607	0.0025798559328431272	-0.0015461932291617843	0.004126049162004912	0.7810302418934874	0.972163633529955	up	0.6666666666666666	0.6666666666666666
Mouse_IgG2b	TAPBP	530	0.01728301217116941	-0.0015461932291617843	0.018829205400331193	0.2779519424474028	0.8693703903751292	up	0.6666666666666666	0.6666666666666666
Mouse_IgG2b	TAPBPL	635	-0.004064647619585209	-0.0015461932291617843	-0.0025184543904234243	0.8623269712328633	0.972163633529955	down	0.3333333333333333	0.3333333333333333
