axis	target_gene	n_cells	mean_score	control_mean_score	effect_size_vs_control	p_value	q_value	direction	block_support	direction_stability
negative_mitochondrial	LCP1	879	-0.01571999157560656	0.001858849151076011	-0.017578840726682574	0.3709356140589647	0.6860914365301152	down	1.0	1.0
negative_mitochondrial	LEF1-AS1	860	-0.017439488040082777	0.001858849151076011	-0.01929833719115879	0.3236850656885867	0.656497261030805	down	0.6666666666666666	0.6666666666666666
negative_mitochondrial	LGALS3	646	-0.0246020931823129	0.001858849151076011	-0.02646094233338891	0.22279791457061632	0.6089809664930179	down	1.0	1.0
negative_mitochondrial	LGALS3BP	647	-0.036697946795576135	0.001858849151076011	-0.03855679594665214	0.08423014489595607	0.34534359407341986	down	1.0	1.0
negative_mitochondrial	LINC00518	829	0.007224593138372825	0.001858849151076011	0.005365743987296814	0.769537620351906	0.8963459742286218	up	0.3333333333333333	0.3333333333333333
negative_mitochondrial	LRPAP1	795	0.03237096852015233	0.001858849151076011	0.03051211936907632	0.10748727835354674	0.38885103639665436	up	0.6666666666666666	0.6666666666666666
negative_mitochondrial	LRRC75A-AS1	512	0.01795202899667888	0.001858849151076011	0.016093179845602868	0.523166483918535	0.8126545597545839	up	0.3333333333333333	0.3333333333333333
negative_mitochondrial	LY96	789	0.006864782976251149	0.001858849151076011	0.005005933825175138	0.8064993932054283	0.9150865691046078	up	0.0	0.0
negative_mitochondrial	MC1R	728	0.0018414051815155857	0.001858849151076011	-1.7443969560425234e-05	0.9993196665271861	1.0	down	0.6666666666666666	0.6666666666666666
negative_mitochondrial	MDH2	585	0.1453970971276784	0.001858849151076011	0.1435382479766024	1.6578359116818854e-09	4.5314181585971536e-08	up	1.0	1.0
negative_mitochondrial	MFGE8	985	-0.013372639714511412	0.001858849151076011	-0.015231488865587423	0.44192128607126024	0.7536268441321371	down	1.0	1.0
negative_mitochondrial	MIA	750	3.0499625735065668e-05	0.001858849151076011	-0.0018283495253409454	0.9293486997638332	0.964132093550293	down	0.6666666666666666	0.6666666666666666
negative_mitochondrial	MRPL47	392	0.4685702698023451	0.001858849151076011	0.4667114206512691	4.2354473392197786e-44	5.209600227240328e-42	up	1.0	1.0
negative_mitochondrial	MT2A	539	0.04384409002457719	0.001858849151076011	0.04198524087350118	0.053674129058614156	0.26407671496838164	up	1.0	1.0
negative_mitochondrial	MYC	185	-0.2217416135021248	0.001858849151076011	-0.2236004626532008	2.2622850562389172e-05	0.00042809394141136433	down	1.0	1.0
negative_mitochondrial	NACA	95	0.01282148315208585	0.001858849151076011	0.01096263400100984	0.8389980056535219	0.9330106049333378	up	0.6666666666666666	0.6666666666666666
negative_mitochondrial	NCL	165	-0.17447938458137396	0.001858849151076011	-0.17633823373244997	0.0007157420817374505	0.008363148582601756	down	1.0	1.0
negative_mitochondrial	NDUFA13	359	0.008960339595167038	0.001858849151076011	0.007101490444091027	0.8247545057459363	0.926436568098175	up	0.6666666666666666	0.6666666666666666
negative_mitochondrial	NEAT1	616	0.025195759340203478	0.001858849151076011	0.023336910189127466	0.2840927072567458	0.6415811037654405	up	0.6666666666666666	0.6666666666666666
negative_mitochondrial	NGFR	607	-0.03645282004892901	0.001858849151076011	-0.03831166920000502	0.09505381118153025	0.36245815575201445	down	1.0	1.0
negative_mitochondrial	NME1	625	-0.05294302895868478	0.001858849151076011	-0.05480187810976079	0.01793291410170193	0.12604276768624784	down	0.6666666666666666	0.6666666666666666
negative_mitochondrial	NMRK1	753	-0.0016290089195339598	0.001858849151076011	-0.003487858070609971	0.8635456888077667	0.9363359239615616	down	0.6666666666666666	0.6666666666666666
negative_mitochondrial	NOLC1	290	-0.059449752204719826	0.001858849151076011	-0.061308601355795835	0.08735673136082225	0.34719561679311944	down	0.6666666666666666	0.6666666666666666
negative_mitochondrial	NONO	610	0.02428984488237212	0.001858849151076011	0.02243099573129611	0.3154256626509734	0.6531833006985225	up	0.6666666666666666	0.6666666666666666
negative_mitochondrial	NPC1	802	0.04343045910714817	0.001858849151076011	0.04157160995607216	0.02065065192564243	0.13729892901913615	up	1.0	1.0
negative_mitochondrial	NPC2	724	0.026304900825851584	0.001858849151076011	0.024446051674775572	0.26623240029796813	0.6415811037654405	up	0.3333333333333333	0.3333333333333333
negative_mitochondrial	NSG1	701	0.022632823834481407	0.001858849151076011	0.020773974683405395	0.3159707836712365	0.6531833006985225	up	1.0	1.0
negative_mitochondrial	NT5E	904	0.007085408598504762	0.001858849151076011	0.005226559447428751	0.7906650815974339	0.9088953741727511	up	0.6666666666666666	0.6666666666666666
negative_mitochondrial	NUP50-AS1	688	-0.00614644279772172	0.001858849151076011	-0.00800529194879773	0.7034502879243267	0.887429593996843	down	0.6666666666666666	0.6666666666666666
negative_mitochondrial	P2RX4	323	0.011361708445967528	0.001858849151076011	0.009502859294891518	0.7682210782500967	0.8963459742286218	up	0.6666666666666666	0.6666666666666666
negative_mitochondrial	PABPC1	226	-0.08139777483618273	0.001858849151076011	-0.08325662398725873	0.05257374687816464	0.26394166800058166	down	1.0	1.0
negative_mitochondrial	PAICS	229	-0.12105190837133382	0.001858849151076011	-0.12291075752240983	0.00026165917507423915	0.003786362180486049	down	1.0	1.0
negative_mitochondrial	PET100	322	0.023302513749264266	0.001858849151076011	0.021443664598188254	0.5109363146317019	0.8126545597545839	up	0.6666666666666666	0.6666666666666666
negative_mitochondrial	PFDN4	718	-0.01993996798164504	0.001858849151076011	-0.02179881713272105	0.30942643330237624	0.6505889110460219	down	1.0	1.0
negative_mitochondrial	PFN1	331	-0.0371156142669415	0.001858849151076011	-0.03897446341801751	0.22147848833830375	0.6089809664930179	down	0.6666666666666666	0.6666666666666666
negative_mitochondrial	PIK3IP1	605	-0.006623822134956223	0.001858849151076011	-0.008482671286032233	0.7229812869368805	0.8958638296809323	down	0.6666666666666666	0.6666666666666666
negative_mitochondrial	POLD2	149	-0.03830194696638815	0.001858849151076011	-0.04016079611746416	0.4101245810703731	0.7206474781665128	down	1.0	1.0
negative_mitochondrial	PPA1	121	-0.06002587443573945	0.001858849151076011	-0.06188472358681546	0.3326942247885548	0.6600224136934232	down	1.0	1.0
negative_mitochondrial	PPIA	603	0.01979605246283198	0.001858849151076011	0.017937203311755967	0.47113482126092265	0.7726611068679131	up	0.6666666666666666	0.6666666666666666
negative_mitochondrial	PRELID3B	100	-0.26202587656665505	0.001858849151076011	-0.2638847257177311	0.011198379283981931	0.0888645581890179	down	1.0	1.0
negative_mitochondrial	PROS1	569	0.02107124671054738	0.001858849151076011	0.019212397559471368	0.4032266986461339	0.7136242292586256	up	0.6666666666666666	0.6666666666666666
negative_mitochondrial	PSAP	836	0.0047543907563710715	0.001858849151076011	0.0028955416052950603	0.8810977766258512	0.9363359239615616	up	0.3333333333333333	0.3333333333333333
negative_mitochondrial	PSMB8-AS1	604	-0.013711717066853901	0.001858849151076011	-0.015570566217929911	0.5187175987544113	0.8126545597545839	down	0.6666666666666666	0.6666666666666666
negative_mitochondrial	PTMA	635	0.04878584421992481	0.001858849151076011	0.0469269950688488	0.03266736091044919	0.18688769265047672	up	1.0	1.0
negative_mitochondrial	PUF60	234	-0.09775022613355609	0.001858849151076011	-0.0996090752846321	0.008557576228116955	0.07259185352126796	down	1.0	1.0
negative_mitochondrial	PYGB	581	-0.024346934834919697	0.001858849151076011	-0.02620578398599571	0.2967723064242889	0.6415811037654405	down	0.6666666666666666	0.6666666666666666
negative_mitochondrial	RAB27A	680	0.016229032303574045	0.001858849151076011	0.014370183152498035	0.5556748370220977	0.8277864258309364	up	0.6666666666666666	0.6666666666666666
negative_mitochondrial	RACK1	36	-0.058992675342483855	0.001858849151076011	-0.060851524493559864	0.6233715041301392	0.8554289426651855	down	0.6666666666666666	0.6666666666666666
negative_mitochondrial	RB1	789	-0.014485463488224494	0.001858849151076011	-0.016344312639300505	0.44421094471203204	0.7536268441321371	down	0.3333333333333333	0.3333333333333333
negative_mitochondrial	RBP7	704	-0.007002435110036792	0.001858849151076011	-0.008861284261112802	0.7120185086000789	0.8936558832429561	down	0.6666666666666666	0.6666666666666666
negative_mitochondrial	RNASEH2A	309	-0.05748194540775775	0.001858849151076011	-0.05934079455883376	0.12032217283422895	0.4078146290310159	down	1.0	1.0
negative_mitochondrial	RNF213	624	-0.034540630336608924	0.001858849151076011	-0.03639947948768493	0.09664462883385969	0.36245815575201445	down	1.0	1.0
negative_mitochondrial	ROMO1	151	-0.06623715961531727	0.001858849151076011	-0.06809600876639328	0.2762949009196848	0.6415811037654405	down	0.6666666666666666	0.6666666666666666
